,WINFUT,DIFUT,Spread,Z-Score,Position,WINFUT_Ret,DIFUT_Ret,Strategy_Ret,Cum_Strategy_Ret
2025-12-16,158578.0,0.13046,-14972.001453458448,-1.6554873893393962,0,,,,1.0
2025-12-17,157327.0,0.1326,-11218.446344480384,-1.240448480385231,0,-0.007888862263365715,0.01640349532423735,-0.0,1.0
2025-12-18,157923.0,0.13289,-9944.258969899269,-1.0995587578700607,0,0.003788288087867908,0.002187028657616885,0.0,1.0
2025-12-19,158473.0,0.1319,-11709.450352090062,-1.2947398819216067,0,0.003482709928256167,-0.007449770486869012,0.0,1.0
2025-12-22,158142.0,0.13288,-9748.644741436525,-1.0779292590083291,0,-0.0020886838767487648,0.0074298711144806795,-0.0,1.0
2025-12-23,160456.0,0.13262,-8042.6748014058685,-0.8892963810933711,0,0.014632418965233818,-0.00195665261890432,0.0,1.0
2025-12-26,160897.0,0.1316,-9987.023498208437,-1.104287326561892,0,0.002748417011517068,-0.007691147639873219,0.0,1.0
2025-12-29,160490.0,0.13154,-10534.338127432158,-1.1648051183546206,0,-0.002529568606002619,-0.0004559270516717451,-0.0,1.0
2025-12-30,161125.0,0.13176,-9384.851153611962,-1.0377037955765869,0,0.003956632812013305,0.0016724950585373932,0.0,1.0
2026-01-02,160539.0,0.13043,-13081.15876807028,-1.4464127221604373,0,-0.0036369278510473,-0.010094110503946596,0.0,1.0
2026-01-05,161870.0,0.12995,-12872.675801859705,-1.4233602984396294,0,0.00829082029911743,-0.003680134938280899,0.0,1.0
2026-01-06,163664.0,0.12987,-11265.76197415794,-1.2456802744438504,0,0.01108296781367768,-0.0006156213928433241,0.0,1.0
2026-01-07,161975.0,0.12983,-13048.305060307088,-1.4427800148658196,0,-0.010319923746211712,-0.0003080003080003779,-0.0,1.0
2026-01-08,162937.0,0.13011,-11431.503457263228,-1.2640066776321048,0,0.005939188146318886,0.0021566664099206267,0.0,1.0
2026-01-09,163370.0,0.1307,-9618.742936563678,-1.0635657284885172,0,0.0026574688376488353,0.0045346245484589875,-0.0,1.0
2026-01-12,163150.0,0.13022,-10961.25997035316,-1.212010812889601,0,-0.0013466364693640598,-0.00367253251721511,0.0,1.0
2026-01-13,161973.0,0.12971,-13330.934318754473,-1.4740309584803024,0,-0.007214220042905284,-0.003916449086161955,-0.0,1.0
2026-01-14,165146.0,0.13046,-8404.001453458448,-0.9292490699683168,0,0.01958968470053657,0.005782129365507593,0.0,1.0
2026-01-15,165568.0,0.13087,-7023.184820429946,-0.7765691139801544,0,0.002555314691242927,0.003142725739690322,-0.0,1.0
2026-01-16,164800.0,0.13204,-5055.049550568103,-0.5589480344004634,0,-0.004638577502899088,0.008940169633987916,-0.0,1.0
2026-01-19,164849.0,0.1314,-6502.738928954059,-0.7190222580804846,0,0.00029733009708743374,-0.004847016055740672,0.0,1.0
2026-01-20,166277.0,0.13197,-3741.749951329082,-0.4137335865042912,0,0.00866247292977218,0.004337899543379153,0.0,1.0
2026-01-21,171817.0,0.13105,-353.24093275889754,-0.0390586329689446,0,0.033317897243756,-0.006971281351822456,0.0,1.0
2026-01-22,175589.0,0.13027,1594.668887333246,0.1763260737956929,0,0.021953590156969405,-0.005951926745517033,0.0,1.0
2026-01-23,178859.0,0.13007,4396.953456587624,0.4861808904788244,0,0.01862303447254665,-0.0015352728947570782,0.0,1.0
2026-01-26,178721.0,0.12977,3557.3803104691906,0.3933474266197897,0,-0.000771557483828067,-0.0023064503728761343,0.0,1.0
2026-01-27,181919.0,0.12866,4159.559669831069,0.4599317332432555,0,0.01789381214294905,-0.008553594821607446,0.0,1.0
2026-01-28,184691.0,0.12787,5084.083718385955,0.5621584066964599,0,0.015237550778093523,-0.006140214518886911,0.0,1.0
2026-01-29,183134.0,0.12685,1141.7350215833285,0.1262441722353296,0,-0.008430297090816552,-0.007976851489794434,-0.0,1.0
2026-01-30,181364.0,0.12697,-347.6357199692866,-0.0384388521656492,0,-0.009665054004171836,0.000945999211667381,-0.0,1.0
2026-02-02,182793.0,0.12718,1572.4654823135352,0.1738709940840866,0,0.007879182197128465,0.0016539340001573422,0.0,1.0
2026-02-03,185674.0,0.12653,2933.39033239038,0.3243514715369102,0,0.01576099741237358,-0.005110866488441501,0.0,1.0
2026-02-04,181708.0,0.12702,113.29313771706074,0.0125270733757277,0,-0.021360018096233224,0.0038725993835453387,-0.0,1.0
2026-02-05,182127.0,0.12675,-99.12269378948258,-0.0109602159788889,0,0.0023058973738085964,-0.002125649504015059,0.0,1.0
2026-02-06,182950.0,0.1267,606.9484485241119,0.0671116353838155,0,0.004518824776117869,-0.00039447731755415383,0.0,1.0
2026-02-09,186241.0,0.1264,3196.375302405737,0.3534303026337139,0,0.017988521453949247,-0.0023677979479084232,0.0,1.0
2026-02-10,185929.0,0.12687,3983.5065646579023,0.440465151145049,0,-0.0016752487368517643,0.003718354430379822,-0.0,1.0
2026-02-11,189699.0,0.12646,6794.689931629342,0.7513039276178368,0,0.02027655718042909,-0.0032316544494366273,0.0,1.0
2026-02-12,187766.0,0.12636,4627.832216256589,0.5117096667273733,0,-0.01018982704178728,-0.0007907638779059978,-0.0,1.0
2026-02-13,186464.0,0.12625,3068.5887293465203,0.3393006579843968,0,-0.006934162734467342,-0.0008705286483063901,-0.0,1.0
2026-02-18,186016.0,0.12592,1848.8582686162556,0.2044323571490648,0,-0.002402608546421825,-0.002613861386138616,0.0,1.0
2026-02-19,188534.0,0.12605,4670.873298600898,0.5164688146119109,0,0.013536469981076937,0.0010324015247775709,0.0,1.0
2026-02-20,190534.0,0.1254,5150.798148677684,0.5695351691405623,0,0.01060816616631488,-0.0051566838556127426,0.0,1.0
2026-02-23,188854.0,0.12521,3026.46848946932,0.3346433296926908,0,-0.008817323942183597,-0.0015151515151516914,-0.0,1.0
2026-02-24,191490.0,0.12501,5194.753058723756,0.5743953609797776,0,0.013957872218751,-0.0015973165082658891,0.0,1.0
2026-02-25,191248.0,0.12521,5420.46848946932,0.5993532165036475,0,-0.0012637735651992443,0.001599872010239034,-0.0,1.0
2026-02-26,191005.0,0.12476,4125.10877029167,0.4561224209134268,0,-0.0012706015226302547,-0.003593962143598639,0.0,1.0
2026-02-27,188787.0,0.12611,5064.1879278245615,0.5599584850308288,0,-0.011612261459124085,0.010820775889708312,-0.0,1.0
2026-03-02,189307.0,0.12682,7244.577706971439,0.8010490162094991,0,0.0027544269467707494,0.0056300055507096936,-0.0,1.0
2026-03-03,183105.0,0.12866,5345.559669831069,0.5910703822648907,0,-0.03276159888435193,0.014508752562687244,-0.0,1.0
2026-03-04,185366.0,0.12774,5455.068688401254,0.6031790371982627,0,0.012348106277818793,-0.00715062956629875,0.0,1.0
2026-03-05,180464.0,0.12989,5581.009568916576,0.6171045995316308,0,-0.02644497912238486,0.016831063096915733,-0.0,1.0
2026-03-06,179365.0,0.13179,8925.30616099987,0.9868908870640606,0,-0.006089857256848963,0.014627761952421103,-0.0,1.0
2026-03-09,180915.0,0.13247,12065.538625534971,1.3341133516618795,0,0.00864159674406939,0.0051597238030201,0.0,1.0
2026-03-10,183447.0,0.12999,8797.867284289387,0.972799687970766,0,0.013995522759306933,-0.01872121989884512,0.0,1.0
2026-03-11,183969.0,0.13123,12219.702954912207,1.351159643299196,0,0.002845508511995387,0.009539195322717298,-0.0,1.0
2026-03-12,179285.0,0.13396,13920.018584589709,1.539167311584422,0,-0.025460811332344013,0.02080317000685805,-0.0,1.0
2026-03-13,177653.0,0.13839,22647.91537560505,2.5042302070093947,-1,-0.009102825110857027,0.03306957300686775,-0.0,1.0
2026-03-16,179875.0,0.13553,18181.584715942798,2.0103781253972386,-1,0.012507528721721561,-0.02066623310932869,-0.03317376183105025,0.9668262381689497
2026-03-17,180410.0,0.13649,20961.6187835217,2.317772654787136,-1,0.002974287699791578,0.007083302589832474,0.004109014890040896,0.9707989415776682
